Date,USD_to_RWF_Rate,Day_of_Week,Month,Year
2010-03-12,560.2385,Friday,March,2010
2010-03-13,558.7726,Saturday,March,2010
2010-03-14,558.7738,Sunday,March,2010
2010-03-15,560.9144,Monday,March,2010
2010-03-16,560.8301,Tuesday,March,2010
2010-03-17,558.6928,Wednesday,March,2010
2010-03-18,562.7102,Thursday,March,2010
2010-03-19,566.646,Friday,March,2010
2010-03-20,568.2301,Saturday,March,2010
2010-03-21,568.342,Sunday,March,2010
2010-03-22,568.6723,Monday,March,2010
2010-03-23,568.7588,Tuesday,March,2010
2010-03-24,574.0391,Wednesday,March,2010
2010-03-25,577.1001,Thursday,March,2010
2010-03-26,575.6218,Friday,March,2010
2010-03-27,573.6014,Saturday,March,2010
2010-03-28,573.6068,Sunday,March,2010
2010-03-29,571.6105,Monday,March,2010
2010-03-30,571.4671,Tuesday,March,2010
2010-03-31,571.1316,Wednesday,March,2010
2010-04-01,568.7828,Thursday,April,2010
2010-04-02,568.0534,Friday,April,2010
2010-04-03,569.6452,Saturday,April,2010
2010-04-04,569.6151,Sunday,April,2010
2010-04-05,570.0754,Monday,April,2010
2010-04-06,573.2295,Tuesday,April,2010
2010-04-07,575.557,Wednesday,April,2010
2010-04-08,577.0205,Thursday,April,2010
2010-04-09,573.8452,Friday,April,2010
2010-04-10,570.0709,Saturday,April,2010
2010-04-11,569.9396,Sunday,April,2010
2010-04-12,565.2267,Monday,April,2010
2010-04-13,566.1573,Tuesday,April,2010
2010-04-14,564.0595,Wednesday,April,2010
2010-04-15,564.2572,Thursday,April,2010
2010-04-16,568.8959,Friday,April,2010
2010-04-17,569.7526,Saturday,April,2010
2010-04-18,569.7764,Sunday,April,2010
2010-04-19,571.278,Monday,April,2010
2010-04-20,570.9538,Tuesday,April,2010
2010-04-21,573.5582,Wednesday,April,2010
2010-04-22,575.8173,Thursday,April,2010
2010-04-23,577.8476,Friday,April,2010
2010-04-24,575.0851,Saturday,April,2010
2010-04-25,575.022,Sunday,April,2010
2010-04-26,576.153,Monday,April,2010
2010-04-27,577.2592,Tuesday,April,2010
2010-04-28,583.3755,Wednesday,April,2010
2010-04-29,581.3526,Thursday,April,2010
2010-04-30,579.535,Friday,April,2010
2010-05-01,578.5898,Saturday,May,2010
2010-05-02,578.6277,Sunday,May,2010
2010-05-03,581.2632,Monday,May,2010
2010-05-04,586.3717,Tuesday,May,2010
2010-05-05,592.2335,Wednesday,May,2010
2010-05-06,564.4407,Thursday,May,2010
2010-05-07,563.7376,Friday,May,2010
2010-05-08,565.6466,Saturday,May,2010
2010-05-09,562.4796,Sunday,May,2010
2010-05-10,568.8863,Monday,May,2010
2010-05-11,560.8756,Tuesday,May,2010
2010-05-12,563.6532,Wednesday,May,2010
2010-05-13,566.4112,Thursday,May,2010
2010-05-14,572.2757,Friday,May,2010
2010-05-15,577.9331,Saturday,May,2010
2010-05-16,578.0137,Sunday,May,2010
2010-05-17,579.9216,Monday,May,2010
2010-05-18,577.283,Tuesday,May,2010
2010-05-19,583.1778,Wednesday,May,2010
2010-05-20,576.46,Thursday,May,2010
2010-05-21,570.5299,Friday,May,2010
2010-05-22,568.1799,Saturday,May,2010
2010-05-23,567.863,Sunday,May,2010
2010-05-24,573.8308,Monday,May,2010
2010-05-25,581.1535,Tuesday,May,2010
2010-05-26,582.2682,Wednesday,May,2010
2010-05-27,579.8227,Thursday,May,2010
2010-05-28,579.2879,Friday,May,2010
2010-05-29,581.2137,Saturday,May,2010
2010-05-30,581.6482,Sunday,May,2010
2010-05-31,580.3976,Monday,May,2010
2010-06-01,580.7511,Tuesday,June,2010
2010-06-02,581.9871,Wednesday,June,2010
2010-06-03,584.2004,Thursday,June,2010
2010-06-04,589.2227,Friday,June,2010
2010-06-05,595.6285,Saturday,June,2010
2010-06-06,596.2991,Sunday,June,2010
2010-06-07,598.996,Monday,June,2010
2010-06-08,598.2111,Tuesday,June,2010
2010-06-09,596.2072,Wednesday,June,2010
2010-06-10,592.4466,Thursday,June,2010
2010-06-11,590.3985,Friday,June,2010
2010-06-12,590.2758,Saturday,June,2010
2010-06-13,590.2758,Sunday,June,2010
2010-06-14,584.9783,Monday,June,2010
2010-06-15,582.6978,Tuesday,June,2010
2010-06-16,580.4148,Wednesday,June,2010
2010-06-17,579.1964,Thursday,June,2010
2010-06-18,577.0504,Friday,June,2010
2010-06-19,576.4876,Saturday,June,2010
2010-06-20,576.4876,Sunday,June,2010
2010-06-21,576.7464,Monday,June,2010
2010-06-22,581.1028,Tuesday,June,2010
2010-06-23,581.3476,Wednesday,June,2010
2010-06-24,579.7487,Thursday,June,2010
2010-06-25,579.1699,Friday,June,2010
2010-06-26,576.9112,Saturday,June,2010
2010-06-27,576.6632,Sunday,June,2010
2010-06-28,578.8429,Monday,June,2010
2010-06-29,584.4349,Tuesday,June,2010
2010-06-30,583.7632,Wednesday,June,2010
2010-07-01,578.8692,Thursday,July,2010
2010-07-02,569.5455,Friday,July,2010
2010-07-03,568.524,Saturday,July,2010
2010-07-04,568.7405,Sunday,July,2010
2010-07-05,569.8286,Monday,July,2010
2010-07-06,568.7141,Tuesday,July,2010
2010-07-07,565.1668,Wednesday,July,2010
2010-07-08,566.1159,Thursday,July,2010
2010-07-09,567.6505,Friday,July,2010
2010-07-10,570.2141,Saturday,July,2010
2010-07-11,570.2141,Sunday,July,2010
2010-07-12,568.856,Monday,July,2010
2010-07-13,566.9215,Tuesday,July,2010
2010-07-14,561.1441,Wednesday,July,2010
2010-07-15,557.5583,Thursday,July,2010
2010-07-16,556.3611,Friday,July,2010
2010-07-17,558.8702,Saturday,July,2010
2010-07-18,558.8702,Sunday,July,2010
2010-07-19,571.3085,Monday,July,2010
2010-07-20,595.0315,Tuesday,July,2010
2010-07-21,599.1315,Wednesday,July,2010
2010-07-22,599.296,Thursday,July,2010
2010-07-23,596.2153,Friday,July,2010
2010-07-24,596.0868,Saturday,July,2010
2010-07-25,596.045,Sunday,July,2010
2010-07-26,594.3174,Monday,July,2010
2010-07-27,591.8883,Tuesday,July,2010
2010-07-28,592.0826,Wednesday,July,2010
2010-07-29,589.5769,Thursday,July,2010
2010-07-30,589.1045,Friday,July,2010
2010-07-31,589.3616,Saturday,July,2010
2010-08-01,589.3431,Sunday,August,2010
2010-08-02,586.72,Monday,August,2010
2010-08-03,582.5578,Tuesday,August,2010
2010-08-04,583.1891,Wednesday,August,2010
2010-08-05,584.4433,Thursday,August,2010
2010-08-06,581.6301,Friday,August,2010
2010-08-07,578.2742,Saturday,August,2010
2010-08-08,578.236,Sunday,August,2010
2010-08-09,580.2203,Monday,August,2010
2010-08-10,585.0547,Tuesday,August,2010
2010-08-11,591.744,Wednesday,August,2010
2010-08-12,598.5651,Thursday,August,2010
2010-08-13,600.3979,Friday,August,2010
2010-08-14,603.338,Saturday,August,2010
2010-08-15,603.5442,Sunday,August,2010
2010-08-16,602.1943,Monday,August,2010
2010-08-17,598.2114,Tuesday,August,2010
2010-08-18,597.8199,Wednesday,August,2010
2010-08-19,599.4457,Thursday,August,2010
2010-08-20,603.3903,Friday,August,2010
2010-08-21,605.4078,Saturday,August,2010
2010-08-22,605.4108,Sunday,August,2010
2010-08-23,605.8927,Monday,August,2010
2010-08-24,609.1027,Tuesday,August,2010
2010-08-25,607.9965,Wednesday,August,2010
2010-08-26,605.6529,Thursday,August,2010
2010-08-27,604.7396,Friday,August,2010
2010-08-28,603.3409,Saturday,August,2010
2010-08-29,603.1876,Sunday,August,2010
2010-08-30,605.1295,Monday,August,2010
2010-08-31,607.2581,Tuesday,August,2010
2010-09-01,602.7689,Wednesday,September,2010
2010-09-02,600.634,Thursday,September,2010
2010-09-03,598.5123,Friday,September,2010
2010-09-04,595.8327,Saturday,September,2010
2010-09-05,595.8583,Sunday,September,2010
2010-09-06,596.9329,Monday,September,2010
2010-09-07,602.4256,Tuesday,September,2010
2010-09-08,605.1475,Wednesday,September,2010
2010-09-09,605.2451,Thursday,September,2010
2010-09-10,605.706,Friday,September,2010
2010-09-11,606.8805,Saturday,September,2010
2010-09-12,606.7784,Sunday,September,2010
2010-09-13,600.5582,Monday,September,2010
2010-09-14,595.8452,Tuesday,September,2010
2010-09-15,592.1899,Wednesday,September,2010
2010-09-16,589.7723,Thursday,September,2010
2010-09-17,588.13,Friday,September,2010
2010-09-18,589.5865,Saturday,September,2010
2010-09-19,589.504,Sunday,September,2010
2010-09-20,588.9454,Monday,September,2010
2010-09-21,585.9,Tuesday,September,2010
2010-09-22,576.5714,Wednesday,September,2010
2010-09-23,575.8667,Thursday,September,2010
2010-09-24,574.0498,Friday,September,2010
2010-09-25,569.8941,Saturday,September,2010
2010-09-26,570.0703,Sunday,September,2010
2010-09-27,571.2982,Monday,September,2010
2010-09-28,570.7428,Tuesday,September,2010
2010-09-29,590.1643,Wednesday,September,2010
2010-09-30,586.6659,Thursday,September,2010
2010-10-01,568.3646,Friday,October,2010
2010-10-02,603.6211,Saturday,October,2010
2010-10-03,603.6207,Sunday,October,2010
2010-10-04,606.5841,Monday,October,2010
2010-10-05,596.5842,Tuesday,October,2010
2010-10-06,601.1746,Wednesday,October,2010
2010-10-07,598.1805,Thursday,October,2010
2010-10-08,598.7047,Friday,October,2010
2010-10-09,598.0517,Saturday,October,2010
2010-10-10,598.0441,Sunday,October,2010
